ch_pr_var,SEA,STEA,units,precision,excel_solution,igps_solution,latex_SEA,latex_STEA,details
08-01-F,10000,,$,,,,,,
08-01-n,8,,n=years,,,,,,
08-01-i,0.06,,%,,,,,,
08-01-x,,,,4,,,,,
08-01-P,,,$,,-6274.123713,6274,,,
08-02a-P,8000,,$,,,,,,
08-02a-n,10,,n=years,,,,,,
08-02a-i,0.072,,%,,,,,,
08-02a-x,,,,4,,,,,
08-02a-F,,,$,,-16033.85089,16032,,,
08-02b-P,52500,,$,,,,,,
08-02b-n,5,,n=years,,,,,,
08-02b-i,0.08,,%,,,,,,
08-02b-F,,,$,,-77139.72403,77123,,,
08-03-series,6000,,$,,,,,,
08-03-n,5,,n=years,,,,,,
08-03-i,0.08,,%,,,,,,
08-03-x,,,,4,,,,,
08-03-P,,,$,,-23956.26022,23956,,,
08-04-series-base,1000,,$,,,,,,
08-04-series-inc,0.08,,%,,,,,,
08-04-n-begin,0,,n=years,,,,,,
08-04-n,20,,n=years,,,,,,
08-04-i,0.08,,%,,,,,,
08-04-g,0.08,,,,,,,,
08-04-g-prime,0,,,,,,,,
08-04-array,,,,,,,,,
08-04-P,,,$,,18518.51852,18519,,,Page 210.
08-05-series-base,1000000,,$,,,,,,
08-05-series-inc,-0.25,,%,,,,,,
08-05-n,4,,n=years,,,,,,
08-05-i,0.06,,%,,,,,,
08-05-g,,,,,,,,,
08-05-g-prime,,,,,,,,,
08-05-P,,,$,,,,,,Shown in solutions.
