ch_pr_var,SEA,STEA,precision,excel_solution,igps_solution,latex_SEA,latex_STEA,details
08-01-F,10000,,,,,"\$10,000.00",\$nan,
08-01-n,8,,,,,8 years,nan years,
08-01-i,0.06,,,,,6.00\%,nan\%,
08-01-x,,,4,,,,,
08-01-P,6274.123713,,,-6274.123713,6274,"\$6,274.12",\$nan,
08-02a-P,8000,,,,,"\$8,000.00",\$nan,
08-02a-n,10,,,,,10 years,nan years,
08-02a-i,0.072,,,,,7.20\%,nan\%,
08-02a-x,,,4,,,,,
08-02a-F,,,,-16033.85089,16032,\$nan,\$nan,
08-02b-P,52500,,,,,"\$52,500.00",\$nan,
08-02b-n,5,,,,,5 years,nan years,
08-02b-i,0.08,,,,,8.00\%,nan\%,
08-02b-F,,,,-77139.72403,77123,\$nan,\$nan,
08-03-series,6000,,,,,"\$6,000.00",\$nan,
08-03-n,5,,,,,5 years,nan years,
08-03-i,0.08,,,,,8.00\%,nan\%,
08-03-x,,,4,,,,,
08-03-P,,,,-23956.26022,23956,\$nan,\$nan,
08-04-series-base,1000,,,,,"\$1,000.00",\$nan,
08-04-series-inc,0.08,,,,,8.00\%,nan\%,
08-04-n-begin,0,,,,,0 years,nan years,
08-04-n,20,,,,,20 years,nan years,
08-04-i,0.08,,,,,8.00\%,nan\%,
08-04-g,0.08,,,,,0.08,,
08-04-g-prime,0,,,,,0,,
08-04-array,,,,,,,,
08-04-P,,,,18518.51852,18519,\$nan,\$nan,Page 210.
08-05-series-base,1000000,,,,,"\$1,000,000.00",\$nan,
08-05-series-inc,-0.25,,,,,-25.00\%,nan\%,
08-05-n,4,,,,,4 years,nan years,
08-05-i,0.06,,,,,6.00\%,nan\%,
08-05-g,,,,,,,,
08-05-g-prime,,,,,,,,
08-05-P,,,,,,\$nan,\$nan,Shown in solutions.
